seed,layer,mode,alpha,vector_type,hallucination_rate,calibrated_abstention_rate,correct_answer_rate,unnecessary_abstention_rate,answerable_count,unanswerable_count
0,-1,base,0.0,none,0.8667,0.0667,0.6,0.0,30,30
0,-1,prompt_only,0.0,none,0.4,0.1333,0.0667,0.2,30,30
0,11,steering_a-1.00,-1.0,steering,0.7333,0.0667,0.5333,0.1667,30,30
0,11,oracle_gate_a-1.0,-1.0,steering,0.7333,0.0667,0.6,0.0,30,30
0,11,single_pass_hard_gate_a-1.0,-1.0,steering,0.7333,0.0667,0.6333,0.0,30,30
0,11,random_single_pass_hard_gate_a-1.0,-1.0,random,1.0,0.0,0.6333,0.0,30,30
0,11,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled,0.8333,0.0667,0.6,0.0,30,30
