n_per_class,repeat_idx,subsample_seed,train_n_pos,train_n_neg,probe_train_acc,probe_cv_acc,probe_test_acc,gate_type,H,C,UA,oracle_gap,gate_on_count,gate_mean,gate_std,gen_time_s,train_time_s
3,2,1302,3,3,1.0,0.6667,0.9167,hard,0.6667,0.6333,0.0333,-0.0003,35,0.5833,0.493,229.9,1.1
3,2,1302,3,3,1.0,0.6667,0.9167,soft_T0.1,0.6667,0.6333,0.0333,-0.0003,44,0.562,0.458,232.4,1.1
3,2,1302,3,3,1.0,0.6667,0.9167,soft_T0.3,0.8333,0.5333,0.0,0.1663,60,0.5352,0.2977,232.3,1.1
3,2,1302,3,3,1.0,0.6667,0.9167,confidence_aware,0.6667,0.6,0.0333,-0.0003,31,0.5167,0.4997,233.8,1.1
3,3,1303,3,3,1.0,0.5,0.9667,hard,0.7,0.6,0.0,0.033,28,0.4667,0.4989,234.4,1.1
3,3,1303,3,3,1.0,0.5,0.9667,soft_T0.1,0.7333,0.6,0.0,0.0663,36,0.455,0.4633,233.1,1.1
3,3,1303,3,3,1.0,0.5,0.9667,soft_T0.3,0.8333,0.5333,0.0,0.1663,60,0.4605,0.3037,235.4,1.1
3,3,1303,3,3,1.0,0.5,0.9667,confidence_aware,0.7,0.6,0.0,0.033,24,0.4,0.4899,232.5,1.1
3,4,1304,3,3,1.0,0.6667,0.8833,hard,0.6667,0.5333,0.0,-0.0003,37,0.6167,0.4862,234.7,1.1
3,4,1304,3,3,1.0,0.6667,0.8833,soft_T0.1,0.6667,0.5667,0.0,-0.0003,46,0.5881,0.4373,235.0,1.1
3,4,1304,3,3,1.0,0.6667,0.8833,soft_T0.3,0.8333,0.5667,0.0,0.1663,60,0.5542,0.2829,253.5,1.1
3,4,1304,3,3,1.0,0.6667,0.8833,confidence_aware,0.6667,0.6,0.0,-0.0003,31,0.5167,0.4997,242.4,1.1
2,0,1200,2,2,1.0,0.5,0.9833,hard,0.7,0.6,0.0,0.033,29,0.4833,0.4997,261.8,0.8
2,0,1200,2,2,1.0,0.5,0.9833,soft_T0.1,0.8333,0.5667,0.0,0.1663,44,0.4541,0.4143,258.2,0.8
