pos,n,train_acc,cv_acc,auc,layer,is_context
0,30,0.5333333333333333,0.5333333333333333,0.5,6,True
1,30,0.5333333333333333,0.5333333333333333,0.5,6,True
2,30,0.5333333333333333,0.5333333333333333,0.5,6,True
3,30,0.5333333333333333,0.5333333333333333,0.5,6,True
4,30,0.5333333333333333,0.5333333333333333,0.5,6,True
5,30,0.5333333333333333,0.5333333333333333,0.5,6,True
6,30,0.5333333333333333,0.5333333333333333,0.5,6,True
7,30,0.5333333333333333,0.5333333333333333,0.5,6,True
8,30,0.5333333333333333,0.5333333333333333,0.5,6,True
9,30,0.5333333333333333,0.5333333333333333,0.5,6,True
10,30,0.5333333333333333,0.5333333333333333,0.5,6,True
11,30,0.5333333333333333,0.5333333333333333,0.5,6,True
12,30,0.5333333333333333,0.5333333333333333,0.5,6,True
13,30,0.5333333333333333,0.5333333333333333,0.5,6,True
14,30,0.5333333333333333,0.5333333333333333,0.5,6,True
15,30,0.5333333333333333,0.5333333333333333,0.5,6,True
16,30,0.9666666666666667,0.9666666666666667,0.9642857142857143,6,True
17,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,6,True
18,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,6,True
19,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,6,True
20,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,6,True
21,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,6,True
22,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,6,True
23,30,0.9666666666666667,0.9,0.9977678571428572,6,True
24,30,0.9666666666666667,0.9,0.9977678571428572,6,True
25,30,0.9666666666666667,0.9,0.9977678571428571,6,True
26,30,0.9666666666666667,0.8333333333333334,0.9977678571428572,6,True
27,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,6,True
28,30,0.9666666666666667,0.9,0.9977678571428572,6,True
29,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,6,True
30,30,0.9666666666666667,0.9,0.9977678571428571,6,True
31,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,6,True
32,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,6,True
33,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,6,True
34,30,0.9666666666666667,0.8666666666666667,0.9977678571428571,6,True
35,30,0.9666666666666667,0.8666666666666666,0.9977678571428571,6,True
36,30,1.0,0.9333333333333332,1.0,6,True
37,30,1.0,0.9333333333333332,1.0,6,True
38,30,1.0,0.9666666666666667,1.0,6,True
39,30,1.0,0.9333333333333332,1.0,6,True
40,30,1.0,0.9,1.0,6,False
41,30,1.0,0.9,1.0,6,False
42,30,1.0,0.8333333333333334,1.0,6,False
43,30,1.0,0.9,1.0,6,False
44,30,1.0,0.8666666666666667,1.0,6,False
45,30,1.0,0.8333333333333334,1.0,6,False
46,30,1.0,0.8666666666666667,1.0,6,False
47,30,1.0,0.8000000000000002,1.0,6,False
48,30,1.0,0.8333333333333334,1.0,6,False
49,30,1.0,0.7666666666666666,1.0,6,False
50,30,1.0,0.7666666666666666,1.0,6,False
51,30,1.0,0.8333333333333334,1.0,6,False
52,30,1.0,0.9333333333333332,1.0,6,False
53,30,1.0,0.9666666666666667,1.0,6,False
54,30,1.0,0.9333333333333332,1.0,6,False
55,30,1.0,0.9666666666666667,1.0,6,False
56,30,1.0,0.9333333333333332,1.0,6,False
57,30,1.0,0.9666666666666667,1.0,6,False
58,30,1.0,0.9666666666666667,1.0,6,False
