label,seed,layer,verdict,tag,dim,n_pos,n_neg,mean_separation_L2,pos_total_variance,neg_total_variance,total_variance,signal_variance,snr_proxy,top3_pca_pos,top3_pca_neg,pc1_fraction,pc3_fraction,inter_class_distance,intra_pos_distance_mean,intra_neg_distance_mean,davies_bouldin_proxy,norm_steering,norm_random,norm_shuffled,cos_steering_random,cos_steering_shuffled,cos_random_shuffled,train_acc,cv_acc,auc,proba_pos_mean,proba_pos_std,proba_pos_min,proba_pos_max,proba_neg_mean,proba_neg_std,proba_neg_min,proba_neg_max,proba_separation
seed0_layer12_ref,0,12,SUCCESS,reference,896,30,30,7.589852,32.224200,18.217100,39.438700,57.605851,1.142037,0.719000,0.605400,0.260500,0.497900,7.589900,5.323100,4.124200,1.244700,1.000000,1.000000,1.000000,-0.057087,0.471678,0.034012,1.000000,1.000000,1.000000,0.999500,0.000200,0.998900,0.999800,0.000600,0.000600,0.000100,0.002400,0.998800
seed1_layer12,1,12,SUCCESS,cross-seed,896,30,30,7.556212,34.173100,19.775700,41.033200,57.096346,1.058343,0.733000,0.618700,0.264000,0.524100,7.556200,5.492700,4.328000,1.299700,1.000000,1.000000,1.000000,-0.059033,0.569315,-0.004080,1.000000,1.000000,1.000000,0.999500,0.000200,0.999000,0.999900,0.000700,0.000700,0.000000,0.002600,0.998800
seed2_layer12,2,12,ARTIFACT,cross-seed,896,30,30,7.684691,33.549200,18.653500,40.672800,59.054482,1.131253,0.742900,0.631600,0.289600,0.546100,7.684700,5.531500,4.198600,1.266200,1.000000,1.000000,1.000000,-0.063366,0.788152,-0.081679,1.000000,1.000000,1.000000,0.999400,0.000300,0.998800,0.999900,0.000700,0.000700,0.000100,0.003500,0.998800
seed0_layer11,0,11,SUCCESS,cross-layer,896,30,30,6.525521,23.613600,12.895800,28.771300,42.582428,1.166341,0.721100,0.589500,0.285800,0.500700,6.525500,4.522000,3.461700,1.223500,1.000000,1.000000,1.000000,-0.078840,0.440923,0.013641,1.000000,1.000000,1.000000,0.999500,0.000200,0.999000,0.999800,0.000700,0.000700,0.000100,0.002900,0.998800
seed0_layer13,0,13,ARTIFACT,cross-layer,896,30,30,8.010005,34.972900,20.711700,43.682300,64.160180,1.152207,0.710300,0.589700,0.246100,0.485000,8.010000,5.569100,4.385700,1.242800,1.000000,1.000000,1.000000,-0.019875,0.472408,0.061701,1.000000,1.000000,1.000000,0.999400,0.000200,0.999000,0.999800,0.000700,0.000500,0.000100,0.002000,0.998700
